Date;rfr;t;n;Underlying
02.10.2017;1,02%;52;2368;12,68
03.10.2017;1,04%;51;2369;12,78
04.10.2017;1,06%;50;2370;12,78
05.10.2017;1,06%;49;2371;12,48
06.10.2017;1,06%;48;2372;12,53
09.10.2017;1,06%;47;2373;12,63
10.10.2017;1,07%;46;2374;12,33
11.10.2017;1,09%;45;2375;12,18
12.10.2017;1,07%;44;2376;12,08
13.10.2017;1,07%;43;2377;11,88
16.10.2017;1,06%;42;2378;11,68
17.10.2017;1,09%;41;2379;11,73
18.10.2017;1,09%;60;2380;12,33
19.10.2017;1,09%;59;2381;12,23
20.10.2017;1,10%;58;2382;12,13
23.10.2017;1,09%;57;2383;12,53
24.10.2017;1,11%;56;2384;12,53
25.10.2017;1,10%;55;2385;12,58
26.10.2017;1,10%;54;2386;12,68
27.10.2017;1,09%;53;2387;12,23
30.10.2017;1,09%;52;2388;12,33
31.10.2017;1,13%;51;2389;12,18
01.11.2017;1,16%;50;2390;12,28
02.11.2017;1,16%;49;2391;12,28
03.11.2017;1,17%;48;2392;12,33
06.11.2017;1,18%;47;2393;12,18
07.11.2017;1,20%;46;2394;12,28
08.11.2017;1,22%;45;2395;12,28
09.11.2017;1,22%;44;2396;12,33
10.11.2017;1,22%;43;2397;12,58
13.11.2017;1,21%;42;2398;12,78
14.11.2017;1,24%;41;2399;12,68
15.11.2017;1,24%;60;2400;14,33
16.11.2017;1,25%;59;2401;13,98
17.11.2017;1,26%;58;2402;13,88
20.11.2017;1,26%;57;2403;13,43
21.11.2017;1,27%;56;2404;12,98
22.11.2017;1,28%;55;2405;12,88
24.11.2017;1,26%;54;2406;12,83
27.11.2017;1,24%;53;2407;12,88
28.11.2017;1,28%;52;2408;12,73
29.11.2017;1,28%;51;2409;12,93
30.11.2017;1,26%;50;2410;13,03
01.12.2017;1,26%;49;2411;13,28
04.12.2017;1,27%;48;2412;13,23
05.12.2017;1,29%;47;2413;13,18
06.12.2017;1,28%;46;2414;13,08
07.12.2017;1,28%;45;2415;12,68
08.12.2017;1,27%;44;2416;12,33
11.12.2017;1,29%;43;2417;11,98
12.12.2017;1,33%;42;2418;11,98
13.12.2017;1,30%;41;2419;11,98
14.12.2017;1,30%;40;2420;11,88
15.12.2017;1,31%;39;2421;11,48
18.12.2017;1,34%;38;2422;11,33
19.12.2017;1,37%;37;2423;11,33
20.12.2017;1,37%;60;2424;12,33
21.12.2017;1,34%;59;2425;12,23
22.12.2017;1,32%;58;2426;12,33
26.12.2017;1,33%;57;2427;12,33
27.12.2017;1,43%;56;2428;12,33
28.12.2017;1,38%;55;2429;12,28
29.12.2017;1,38%;54;2430;12,48
02.01.2018;1,39%;53;2431;11,98
03.01.2018;1,39%;52;2432;11,83
04.01.2018;1,40%;51;2433;11,83
05.01.2018;1,39%;50;2434;11,73
08.01.2018;1,41%;49;2435;11,68
09.01.2018;1,42%;48;2436;11,78
10.01.2018;1,42%;47;2437;11,58
11.01.2018;1,43%;46;2438;11,58
12.01.2018;1,44%;45;2439;11,68
16.01.2018;1,42%;44;2440;12,08
17.01.2018;1,44%;60;2441;12,58
18.01.2018;1,43%;59;2442;12,78
19.01.2018;1,43%;58;2443;12,53
22.01.2018;1,42%;57;2444;12,48
23.01.2018;1,43%;56;2445;12,73
24.01.2018;1,43%;55;2446;12,93
25.01.2018;1,42%;54;2447;13,03
26.01.2018;1,41%;53;2448;13,08
29.01.2018;1,40%;52;2449;13,83
30.01.2018;1,44%;51;2450;14,08
31.01.2018;1,46%;50;2451;13,68
01.02.2018;1,48%;49;2452;13,43
02.02.2018;1,47%;48;2453;14,98
05.02.2018;1,48%;47;2454;27,98
06.02.2018;1,52%;46;2455;21,03
07.02.2018;1,54%;45;2456;19,88
08.02.2018;1,54%;44;2457;21,65
09.02.2018;1,55%;43;2458;20,43
12.02.2018;1,57%;42;2459;19,83
13.02.2018;1,58%;41;2460;19,83
14.02.2018;1,57%;40;2461;17,88
15.02.2018;1,59%;39;2462;17,53
16.02.2018;1,59%;38;2463;17,78
20.02.2018;1,60%;37;2464;18,38
21.02.2018;1,64%;60;2465;18,08
22.02.2018;1,63%;59;2466;17,63
23.02.2018;1,64%;58;2467;16,90
26.02.2018;1,64%;57;2468;16,18
27.02.2018;1,66%;56;2469;17,18
28.02.2018;1,65%;55;2470;17,88
01.03.2018;1,61%;54;2471;18,68
02.03.2018;1,64%;53;2472;18,28
05.03.2018;1,66%;52;2473;17,83
06.03.2018;1,66%;51;2474;17,98
07.03.2018;1,67%;50;2475;17,78
08.03.2018;1,65%;49;2476;17,28
09.03.2018;1,66%;48;2477;16,23
12.03.2018;1,67%;47;2478;16,58
13.03.2018;1,70%;46;2479;16,93
14.03.2018;1,75%;45;2480;17,28
15.03.2018;1,76%;44;2481;16,73
16.03.2018;1,77%;43;2482;16,48
19.03.2018;1,76%;42;2483;17,48
20.03.2018;1,79%;41;2484;17,38
21.03.2018;1,74%;60;2485;17,33
22.03.2018;1,71%;59;2486;18,43
23.03.2018;1,72%;58;2487;19,33
26.03.2018;1,74%;57;2488;18,63
27.03.2018;1,75%;56;2489;19,53
28.03.2018;1,72%;55;2490;19,88
29.03.2018;1,70%;54;2491;19,23
02.04.2018;1,72%;53;2492;20,03
03.04.2018;1,74%;52;2493;19,68
04.04.2018;1,70%;51;2494;19,23
05.04.2018;1,71%;50;2495;18,68
06.04.2018;1,71%;49;2496;19,53
09.04.2018;1,71%;48;2497;19,83
10.04.2018;1,72%;47;2498;19,43
11.04.2018;1,72%;46;2499;19,48
12.04.2018;1,74%;45;2500;18,73
13.04.2018;1,75%;44;2501;18,13
16.04.2018;1,74%;43;2502;17,28
17.04.2018;1,78%;42;2503;16,38
18.04.2018;1,81%;60;2504;16,68
19.04.2018;1,81%;59;2505;16,83
20.04.2018;1,80%;58;2506;17,08
23.04.2018;1,82%;57;2507;17,03
24.04.2018;1,85%;56;2508;17,48
25.04.2018;1,84%;55;2509;17,68
26.04.2018;1,81%;54;2510;17,03
27.04.2018;1,80%;53;2511;16,83
30.04.2018;1,80%;52;2512;16,93
01.05.2018;1,83%;51;2513;16,48
02.05.2018;1,82%;50;2514;16,78
03.05.2018;1,82%;49;2515;16,53
04.05.2018;1,83%;48;2516;16,38
07.05.2018;1,83%;47;2517;16,33
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

