Date,rfr,t,n,Underlying,f(0)_30,f(0)_60,f(1)_30,f(1)_60,f(x)_30,f(x)_60,implied_vola,K,d1,d2,N_d1,N_d2,Call_price
2009-05-07,0.0017749999999999999,44,252,34.15,0.8671363,0.7461,0.8113088,0.70273,0.8559708,0.737426,0.8006498933333334,32.0,0.37304302205974077,0.09313345792157808,0.6454417878345746,0.5371012313186899,4.858325924027753
2009-05-08,0.001714,43,253,32.8,0.89736,0.7618163,0.8262587,0.7179462999999999,0.8831397400000001,0.7530422999999999,0.8267641826666666,32.0,0.23000202679504594,-0.05573375631994173,0.5909549026096342,0.477776953815631,4.097588017961984
2009-05-11,0.001603,42,254,33.0,0.86045,0.7755038000000001,0.8067619,0.727685,0.84971238,0.76594004,0.816203444,32.0,0.25044122669918356,-0.02834532348997185,0.5988769245649739,0.48869336609484326,4.127675123890739
2009-05-12,0.001806,41,255,32.85,0.8702269,0.7841963,0.8213181,0.7384613,0.86044514,0.7750492999999999,0.8291333320000001,32.0,0.23433185688158642,-0.04547931640998607,0.5926363219523321,0.48186263047551475,4.051670230357377
2009-05-13,0.001653,40,256,33.85,0.9016619,0.7924519,0.8455569,0.750235,0.8904409,0.78400852,0.85496344,32.0,0.34035065908601275,0.05536284575267944,0.633203764339707,0.522075302393746,4.730605875111362
2009-05-14,0.0015210000000000002,39,257,32.5,0.8860619,0.7858581,0.8211087,0.7304469,0.87307126,0.77477586,0.84358264,32.0,0.19526130990495774,-0.08239572849286207,0.577405807867329,0.4671660163353969,3.818839302994668
2009-05-15,0.001562,38,258,33.2,0.9010412999999999,0.7779781,0.8422763000000001,0.7343237,0.8892882999999999,0.76924722,0.8572773453333333,32.0,0.27202918654647223,-0.006494346167786909,0.6072002111742357,0.4974091489423051,4.244578403376174
2009-05-18,0.001572,37,259,30.85,0.904965,0.7904881,0.8296899999999999,0.7341288,0.88991,0.77921624,0.864081456,32.0,0.006971620162364276,-0.27004402428310514,0.502781251515894,0.393563192404711,2.9188140621274155
2009-05-19,0.0017549999999999998,36,260,30.4,0.8696619,0.7820313,0.7894019,0.7225261999999999,0.8536099,0.77013028,0.8369139760000001,32.0,-0.0608207577750863,-0.3254761947538358,0.47575097930468546,0.3724103482583839,2.547789899595399
2009-05-20,0.001674,60,261,31.4,0.9243181,0.80081,0.8407281000000001,0.7407819000000001,0.9076001,0.7888043800000001,0.7888043800000001,28.0,0.5177605406086061,0.19573250096319877,0.6976873236834195,0.5775902278356749,5.739367089736042
2009-05-21,0.0017549999999999998,59,262,32.85,1.018616,0.8471138,0.9431138,0.7915219,1.0035155599999999,0.83599542,0.8415794246666667,28.0,0.6400752499358066,0.2993770299631452,0.738938160632612,0.6176738068194713,6.984225706521837
2009-05-22,0.001734,58,263,33.05,1.041528,0.8596838,0.9552688,0.8047713000000001,1.02427616,0.8487013,0.8604062906666666,28.0,0.6536211138319735,0.3082656563236228,0.7433220310376671,0.6210599016733479,7.1819732965761425
2009-05-26,0.001704,57,264,32.0,1.109679,0.9297219,1.0149679999999999,0.8592363000000001,1.0907368,0.91562478,0.933135982,28.0,0.5460062398887183,0.17470096951182448,0.707469176019253,0.5693426970343864,6.701718577965298
2009-05-27,0.001552,56,265,32.9,1.1012300000000002,0.977135,1.0153489999999998,0.89762,1.0840538000000002,0.961232,0.97760824,28.0,0.6116679275839477,0.22609403795357452,0.729621257120437,0.5894358592168593,7.504319301877526
2009-05-28,0.0013289999999999999,55,266,32.4,1.098033,0.9524237999999999,1.001057,0.8807788,1.0786378,0.9380947999999999,0.9615186333333332,28.0,0.576807819075083,0.20098097314587046,0.7179653565294903,0.5796432741313642,7.03536090997201
2009-05-29,0.001298,54,267,31.5,1.067993,0.948455,0.9630437999999999,0.8772137999999999,1.04700316,0.93420676,0.95676604,28.0,0.5036590705673557,0.1331051766536738,0.6927495125637627,0.5529448993994449,6.342166603551487
2009-06-01,0.0009130000000000001,53,268,30.75,1.03466,0.9207563000000001,0.944235,0.8487281,1.016575,0.9063506600000001,0.9320696726666667,28.0,0.4411526702240128,0.08352174874457981,0.6704487625079294,0.5332816575944493,5.686419952513569
2009-06-02,0.001258,52,269,31.0,1.015684,0.9093062999999999,0.9342950000000001,0.8435281,0.9994062,0.8961506599999999,0.9236854706666666,28.0,0.4659790357208843,0.11492454432912956,0.6793847466824159,0.5457475347865177,5.782772635813798
2009-06-03,0.001217,51,270,32.65,1.041451,0.9154287999999999,0.9562480999999999,0.8494713,1.02441042,0.9022372999999999,0.938889236,28.0,0.6119479174055119,0.25856284701365073,0.7297138914913259,0.602013723816707,6.971680220930949
2009-06-04,0.001369,50,271,32.25,0.9958138,0.8987988,0.9079938,0.8328569,0.9782498,0.88561042,0.9164902133333334,28.0,0.5850694666203509,0.24351373033258128,0.720749495775094,0.5961962750406131,6.553849318594743
2009-06-05,0.0017749999999999999,49,272,32.2,1.0195269999999999,0.9166269,0.92084,0.8321719000000001,0.9997895999999998,0.8997359,0.9364222566666667,28.0,0.5779858964114787,0.23250939175830834,0.718363179407152,0.5919288032461734,6.561291636279787
2009-06-08,0.001724,48,273,32.0,0.9393587999999999,0.9455013,0.8772199999999999,0.8634213,0.9269310399999999,0.9290853,0.9282235959999999,28.0,0.5641162769753837,0.22517694235020905,0.713662499358096,0.589079186903747,6.346773781155871
2009-06-09,0.001704,47,274,30.95,0.9358619,0.9306738,0.8726981,0.8512469,0.92322914,0.91478842,0.9184460653333334,28.0,0.46844108435463977,0.136583814074783,0.6802654032330564,0.5543201144568136,5.536703538171183
